,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8649068322981367,0.8648002143294549,0.8649068322981367,0.864834568258375,0.9366478298636528,315,242,45,42,0.8333333333333334,0.834703196347032,0.8333333333333334,0.8336239849213478,0.9044991511035654,63,52,10,13,0.8260869565217391,0.8258454106280193,0.8260869565217391,0.8257907452490489,0.9019524617996604,65,49,13,11,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8788819875776398,0.8789793976738421,0.8788819875776398,0.8789221523367531,0.9458417513346803,317,249,38,40,0.8333333333333334,0.8336507936507936,0.8333333333333334,0.8334481236203091,0.9057724957555179,64,51,11,12,0.8260869565217391,0.8258454106280193,0.8260869565217391,0.8257907452490489,0.9019524617996604,65,49,13,11,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8975155279503105,0.8989414531978344,0.8975155279503105,0.8969459172852599,0.9726036756165881,336,242,45,21,0.855072463768116,0.8549424005945745,0.855072463768116,0.8548256210408741,0.9008913412563667,67,51,11,9,0.855072463768116,0.8639262187088274,0.855072463768116,0.8526107155481493,0.916383701188455,72,46,16,4,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8928571428571429,0.8950827408924769,0.8928571428571429,0.892097497129169,0.9723987155837944,337,238,49,20,0.855072463768116,0.8549424005945745,0.855072463768116,0.8548256210408741,0.8957979626485568,67,51,11,9,0.8405797101449275,0.8486824769433465,0.8405797101449275,0.8378717871029642,0.9127758913412564,71,45,17,5,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8493788819875776,0.84972030835454,0.8493788819875776,0.8494981281548034,0.9288983886237421,306,241,46,51,0.7971014492753623,0.8034831323833882,0.7971014492753623,0.7976138193529498,0.899830220713073,58,52,10,18,0.8188405797101449,0.8186384772272157,0.8188405797101449,0.8186961835517759,0.9040747028862479,64,49,13,12,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8416149068322981,0.8420579025268149,0.8416149068322981,0.8417630167966865,0.9246430279428844,303,239,48,54,0.7898550724637681,0.7975736747980854,0.7898550724637681,0.7903522869197925,0.9032258064516129,57,52,10,19,0.8115942028985508,0.813753476796955,0.8115942028985508,0.8119920191931062,0.9102292020373515,61,51,11,15,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
