,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8680124223602484,0.8678720735785952,0.8680124223602484,0.8678384006229791,0.9444363111098099,318,241,46,39,0.8478260869565217,0.8481251437773176,0.8478260869565217,0.8479308954794126,0.9136247877758913,65,52,10,11,0.8405797101449275,0.8434169158806839,0.8405797101449275,0.8390679660169915,0.9168081494057725,69,47,15,7,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8773291925465838,0.8772364258011839,0.8773291925465838,0.8772635734759956,0.9539913526386165,319,246,41,38,0.8333333333333334,0.834703196347032,0.8333333333333334,0.8336239849213478,0.9126697792869269,63,52,10,13,0.8333333333333334,0.835122307411464,0.8333333333333334,0.8320163414503037,0.9174448217317487,68,47,15,8,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.9145962732919255,0.9160971846612579,0.9145962732919255,0.914146422468263,0.9821587171453947,341,248,39,16,0.8405797101449275,0.8417916477301419,0.8405797101449275,0.839553619457167,0.9004668930390493,68,48,14,8,0.8043478260869565,0.8120594598366948,0.8043478260869565,0.8005982266851832,0.8979202037351444,69,42,20,7,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.9208074534161491,0.9227429394091572,0.9208074534161491,0.9203438665325384,0.9822075171532026,344,249,38,13,0.8333333333333334,0.8338748104829976,0.8333333333333334,0.8324858605862727,0.8991935483870968,67,48,14,9,0.7971014492753623,0.8059782608695651,0.7971014492753623,0.7927456863025223,0.8951612903225806,69,41,21,7,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8804347826086957,0.880730886891548,0.8804347826086957,0.8805294419373183,0.9398686303789808,316,251,36,41,0.8188405797101449,0.8239865574459146,0.8188405797101449,0.8193079033002583,0.9034380305602715,60,53,9,16,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.8936757215619694,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8835403726708074,0.884000295770482,0.8835403726708074,0.8836654038823024,0.9381606301057008,316,253,34,41,0.8115942028985508,0.8180002435756911,0.8115942028985508,0.8120699751134532,0.9013157894736842,59,53,9,17,0.8260869565217391,0.8261619190404798,0.8260869565217391,0.825418060200669,0.8924023769100168,66,48,14,10,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
