,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8555900621118012,0.8554138795986623,0.8555900621118012,0.8553996618580831,0.9281907885105263,314,237,50,43,0.8333333333333334,0.8336507936507936,0.8333333333333334,0.8334481236203091,0.9136247877758914,64,51,11,12,0.8478260869565217,0.8478120948107795,0.8478260869565217,0.8474122842604291,0.9110780984719863,67,50,12,9,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8695652173913043,0.8694443534181735,0.8695652173913043,0.8694708795726752,0.9404639904742386,317,243,44,40,0.8478260869565217,0.8481251437773176,0.8478260869565217,0.8479308954794126,0.9125636672325976,65,52,10,11,0.8478260869565217,0.8478120948107795,0.8478260869565217,0.8474122842604291,0.9134125636672326,67,50,12,9,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8928571428571429,0.8947115384615383,0.8928571428571429,0.8921648446809612,0.9728086356493817,336,239,48,21,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.912988115449915,65,51,11,11,0.8260869565217391,0.8334387351778656,0.8260869565217391,0.8231328586577792,0.9032258064516129,70,44,18,6,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8928571428571429,0.894373726070101,0.8928571428571429,0.892229937073434,0.9720766355322618,335,240,47,22,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.91383701188455,68,50,12,8,0.8333333333333334,0.8395312147847644,0.8333333333333334,0.8308449608194437,0.9019524617996604,70,45,17,6,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8478260869565217,0.8477355736440533,0.8478260869565217,0.8477725820451105,0.9302647888423662,309,237,50,48,0.8115942028985508,0.8180002435756911,0.8115942028985508,0.8120699751134532,0.8926146010186757,59,53,9,17,0.8260869565217391,0.8258454106280193,0.8260869565217391,0.8257907452490489,0.9002546689303904,65,49,13,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.84472049689441,0.8445224756816614,0.84472049689441,0.8445473566033884,0.9246527879444462,310,234,53,47,0.8260869565217391,0.8300876872488125,0.8260869565217391,0.826526778760251,0.8945246179966044,61,53,9,15,0.8043478260869565,0.8040539910263705,0.8043478260869565,0.8038157940491231,0.8994057724957554,64,47,15,12,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
