,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8804347826086957,0.8803302675585285,0.8804347826086957,0.8802771393878752,0.9457148713143794,322,245,42,35,0.8695652173913043,0.8702629259694478,0.8695652173913043,0.8697308488612836,0.9238115449915111,66,54,8,10,0.855072463768116,0.8565305761753269,0.855072463768116,0.85413965405197,0.9274193548387096,69,49,13,7,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8975155279503105,0.897437343307732,0.8975155279503105,0.8974414053785303,0.9562849530055924,326,252,35,31,0.855072463768116,0.8571219440784659,0.855072463768116,0.8553784763023894,0.923811544991511,64,54,8,12,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.932088285229202,68,50,12,8,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8850931677018633,0.8856124131242928,0.8850931677018633,0.8846459539424768,0.9564313530290165,329,241,46,28,0.8695652173913043,0.8694908955778522,0.8695652173913043,0.8693430589367867,0.9286926994906621,68,52,10,8,0.8623188405797102,0.8647300665111037,0.8623188405797102,0.8612308907632944,0.9269949066213922,70,49,13,6,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8819875776397516,0.8826848459953256,0.8819875776397516,0.8814651881802634,0.9565875130540021,329,239,48,28,0.8695652173913043,0.8694908955778522,0.8695652173913043,0.8693430589367867,0.9308149405772497,68,52,10,8,0.855072463768116,0.8607438230795158,0.855072463768116,0.8531890649866749,0.9303904923599321,71,47,15,5,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.860248447204969,0.8601133567883209,0.860248447204969,0.8601473709707235,0.9160054265608681,314,240,47,43,0.8623188405797102,0.8636153998869901,0.8623188405797102,0.8625589440654614,0.9208404074702886,65,54,8,11,0.8333333333333334,0.8332260602159766,0.8333333333333334,0.8328801208566604,0.9199915110356536,66,49,13,10,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.860248447204969,0.8601133567883209,0.860248447204969,0.8601473709707235,0.9160054265608681,314,240,47,43,0.8623188405797102,0.8636153998869901,0.8623188405797102,0.8625589440654614,0.9208404074702886,65,54,8,11,0.8333333333333334,0.8332260602159766,0.8333333333333334,0.8328801208566604,0.9199915110356536,66,49,13,10,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
