,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8664596273291926,0.8663227599633678,0.8664596273291926,0.8662557149721097,0.9430601508896241,318,240,47,39,0.855072463768116,0.8558007735996866,0.855072463768116,0.8552564987347596,0.9276315789473684,65,53,9,11,0.8478260869565217,0.8485559039843301,0.8478260869565217,0.8470523074918143,0.9144736842105263,68,49,13,8,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8788819875776398,0.8787753500480263,0.8788819875776398,0.878794388174627,0.9542548726807795,320,246,41,37,0.8623188405797102,0.8636153998869901,0.8623188405797102,0.8625589440654614,0.9265704584040747,65,54,8,11,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.9182937181663837,68,50,12,8,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.922360248447205,0.9228019724328174,0.922360248447205,0.9221362876254181,0.9799236767877882,339,255,32,18,0.855072463768116,0.8549424005945745,0.855072463768116,0.8548256210408741,0.9225382003395585,67,51,11,9,0.8623188405797102,0.8647300665111037,0.8623188405797102,0.8612308907632944,0.9132003395585739,70,49,13,6,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.9239130434782609,0.9242782214140511,0.9239130434782609,0.9237117478304152,0.9800505568080891,339,256,31,18,0.8478260869565217,0.8485559039843301,0.8478260869565217,0.8470523074918143,0.925509337860781,68,49,13,8,0.855072463768116,0.8607438230795158,0.855072463768116,0.8531890649866749,0.9180814940577249,71,47,15,5,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8804347826086957,0.8810995684590137,0.8804347826086957,0.8805944879828251,0.940327350452376,314,253,34,43,0.8405797101449275,0.8426657883179622,0.8405797101449275,0.8409163239326283,0.9257215619694397,63,53,9,13,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.9064091680814941,65,51,11,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8742236024844721,0.8749024980752866,0.8742236024844721,0.8743916042416733,0.9379263900682224,312,251,36,45,0.855072463768116,0.8571219440784659,0.855072463768116,0.8553784763023894,0.9308149405772496,64,54,8,12,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.9068336162988114,65,51,11,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
