,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8726708074534162,0.8725549215376109,0.8726708074534162,0.8724763793920116,0.9471983915517426,320,242,45,37,0.855072463768116,0.855072463768116,0.855072463768116,0.855072463768116,0.9199915110356536,66,52,10,10,0.8768115942028986,0.876708228810866,0.8768115942028986,0.8767134048152075,0.9293293718166383,68,53,9,8,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8850931677018633,0.8850296080518604,0.8850931677018633,0.885052766034063,0.9560848729735796,321,249,38,36,0.8478260869565217,0.8481251437773176,0.8478260869565217,0.8479308954794126,0.9180814940577249,65,52,10,11,0.8695652173913043,0.8700524737631183,0.8695652173913043,0.8690635451505015,0.9325127334465195,69,51,11,7,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8742236024844721,0.8744031536176883,0.8742236024844721,0.873830079593477,0.9542451126792181,324,239,48,33,0.855072463768116,0.855072463768116,0.855072463768116,0.855072463768116,0.9280560271646859,66,52,10,10,0.8695652173913043,0.8731692354880761,0.8695652173913043,0.868328335832084,0.9354838709677419,71,49,13,5,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8726708074534162,0.8726726437224847,0.8726708074534162,0.8723637284325396,0.9551527928244468,322,240,47,35,0.8333333333333334,0.8332260602159766,0.8333333333333334,0.8328801208566604,0.9276315789473684,66,49,13,10,0.8768115942028986,0.8795339460609235,0.8768115942028986,0.8758381654197898,0.9356960950764007,71,50,12,5,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8462732919254659,0.8466192505008393,0.8462732919254659,0.8463949967765518,0.9220712675314028,305,240,47,52,0.8405797101449275,0.8413386212299256,0.8405797101449275,0.8407821486082356,0.9240237691001698,64,52,10,12,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.917763157894737,68,50,12,8,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8416149068322981,0.8420579025268149,0.8416149068322981,0.8417630167966865,0.9214954274392685,303,239,48,54,0.8478260869565217,0.849159298117011,0.8478260869565217,0.8480914644934047,0.9248726655348047,64,53,9,12,0.8623188405797102,0.8623981294055827,0.8623188405797102,0.8619444476641978,0.9179753820033956,68,51,11,8,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
