,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8726708074534162,0.8725549215376109,0.8726708074534162,0.8724763793920116,0.9493846319015411,320,242,45,37,0.8405797101449275,0.8413386212299256,0.8405797101449275,0.8407821486082356,0.9165959252971138,64,52,10,12,0.8623188405797102,0.8623981294055827,0.8623188405797102,0.8619444476641978,0.9297538200339559,68,51,11,8,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8944099378881988,0.8943531166538121,0.8944099378881988,0.8943728120313013,0.9622727139636342,324,252,35,33,0.8333333333333334,0.834703196347032,0.8333333333333334,0.8336239849213478,0.9129881154499151,63,52,10,13,0.8695652173913043,0.8700524737631183,0.8695652173913043,0.8690635451505015,0.9289049235993209,69,51,11,7,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.889751552795031,0.8906550797283062,0.889751552795031,0.889233205665315,0.9763319962131194,332,241,46,25,0.8115942028985508,0.8112969156447417,0.8115942028985508,0.8112733073531364,0.9195670628183362,64,48,14,12,0.8478260869565217,0.8519519374607923,0.8478260869565217,0.8461247637051039,0.9248726655348047,70,47,15,6,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8835403726708074,0.8843712542225127,0.8835403726708074,0.8829928228858962,0.975658556105369,330,239,48,27,0.8333333333333334,0.8332260602159766,0.8333333333333334,0.8328801208566604,0.9138370118845501,66,49,13,10,0.8623188405797102,0.866907944473934,0.8623188405797102,0.8607795481141416,0.9306027164685908,71,48,14,5,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8649068322981367,0.8661000168520392,0.8649068322981367,0.8651501061737806,0.9453049512487922,307,250,37,50,0.8188405797101449,0.8239865574459146,0.8188405797101449,0.8193079033002583,0.9091680814940578,60,53,9,16,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.9191426146010188,65,51,11,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.860248447204969,0.8610726148002178,0.860248447204969,0.8604523965834642,0.9413423906147825,307,247,40,50,0.8115942028985508,0.81561320180246,0.8115942028985508,0.8120706769902719,0.9070458404074703,60,52,10,16,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.9182937181663837,65,51,11,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
