,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8726708074534162,0.872598263249258,0.8726708074534162,0.8726260380377455,0.9414692706350833,317,245,42,40,0.8478260869565217,0.8476733530190408,0.8478260869565217,0.8477047941834919,0.9036502546689305,66,51,11,10,0.8333333333333334,0.8331559151231283,0.8333333333333334,0.8332004888676338,0.9044991511035655,65,50,12,11,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8866459627329193,0.886688429544591,0.8866459627329193,0.8866650405512531,0.9508095921295346,320,251,36,37,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.9017402376910018,65,51,11,11,0.8260869565217391,0.8258454106280193,0.8260869565217391,0.8257907452490489,0.9006791171477079,65,49,13,11,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8959627329192547,0.8978691994147157,0.8959627329192547,0.8952905013568754,0.9722425555588089,337,240,47,20,0.8623188405797102,0.8632369974856626,0.8623188405797102,0.8616187543973558,0.9161714770797962,69,50,12,7,0.855072463768116,0.8639262187088274,0.855072463768116,0.8526107155481493,0.9121392190152802,72,46,16,4,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8928571428571429,0.8950827408924769,0.8928571428571429,0.892097497129169,0.9718131154900985,337,238,49,20,0.855072463768116,0.8565305761753269,0.855072463768116,0.85413965405197,0.9165959252971136,69,49,13,7,0.8478260869565217,0.8581298665044914,0.8478260869565217,0.8449097318662536,0.9087436332767402,72,45,17,4,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8462732919254659,0.8464608797296268,0.8462732919254659,0.8463486101321145,0.9340809494529518,306,239,48,51,0.855072463768116,0.8590366581415175,0.855072463768116,0.8554389823002092,0.9157470288624787,63,55,7,13,0.8260869565217391,0.8282096325574586,0.8260869565217391,0.8264541715628673,0.9057724957555178,62,52,10,14,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8478260869565217,0.8479434755062645,0.8478260869565217,0.8478765503718179,0.9302062288329966,307,239,48,50,0.855072463768116,0.8590366581415175,0.855072463768116,0.8554389823002092,0.9132003395585737,63,55,7,13,0.8260869565217391,0.8282096325574586,0.8260869565217391,0.8264541715628673,0.9055602716468591,62,52,10,14,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
