,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8788819875776398,0.8787663534192728,0.8788819875776398,0.878746938150643,0.9480963116954098,321,245,42,36,0.8478260869565217,0.8481251437773176,0.8478260869565217,0.8479308954794126,0.9165959252971136,65,52,10,11,0.8623188405797102,0.8621907909149534,0.8623188405797102,0.8622090994993497,0.9278438030560271,67,52,10,9,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.889751552795031,0.8896726372729129,0.889751552795031,0.8896925786936164,0.957787993246079,323,250,37,34,0.8478260869565217,0.8481251437773176,0.8478260869565217,0.8479308954794126,0.9185059422750423,65,52,10,11,0.8768115942028986,0.8769841640003856,0.8768115942028986,0.8764766110679665,0.9293293718166383,69,52,10,7,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8711180124223602,0.871071597353497,0.8711180124223602,0.8708366775759544,0.9483500717360116,321,240,47,36,0.8405797101449275,0.8413386212299256,0.8405797101449275,0.8407821486082356,0.9227504244482172,64,52,10,12,0.8623188405797102,0.8632369974856626,0.8623188405797102,0.8616187543973558,0.9342105263157895,69,50,12,7,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8695652173913043,0.8695497927311289,0.8695652173913043,0.8692506486382114,0.9475790316126451,321,239,48,36,0.8405797101449275,0.8413386212299256,0.8405797101449275,0.8407821486082356,0.9259337860780985,64,52,10,12,0.8623188405797102,0.8632369974856626,0.8623188405797102,0.8616187543973558,0.9356960950764007,69,50,12,7,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8385093167701864,0.839158940271499,0.8385093167701864,0.8387042569950677,0.9189919870387179,301,239,48,56,0.8405797101449275,0.8426657883179622,0.8405797101449275,0.8409163239326283,0.932088285229202,63,53,9,13,0.855072463768116,0.855072463768116,0.855072463768116,0.855072463768116,0.9206281833616299,66,52,10,10,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8369565217391305,0.8375051759834369,0.8369565217391305,0.8371315654352235,0.9191139870582379,301,238,49,56,0.8405797101449275,0.8426657883179622,0.8405797101449275,0.8409163239326283,0.9337860780984719,63,53,9,13,0.855072463768116,0.855072463768116,0.855072463768116,0.855072463768116,0.91723259762309,66,52,10,10,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
