,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8788819875776398,0.8787870831118542,0.8788819875776398,0.8786970438119136,0.9452415112386419,322,244,43,35,0.855072463768116,0.8558007735996866,0.855072463768116,0.8552564987347596,0.91723259762309,65,53,9,11,0.8623188405797102,0.8621907909149534,0.8623188405797102,0.8622090994993497,0.9260398981324278,67,52,10,9,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.889751552795031,0.8896580054277553,0.889751552795031,0.8896504966814045,0.9562166329946612,324,249,38,33,0.8405797101449275,0.8413386212299256,0.8405797101449275,0.8407821486082356,0.9191426146010186,64,52,10,12,0.8768115942028986,0.8769841640003856,0.8768115942028986,0.8764766110679665,0.9297538200339558,69,52,10,7,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8633540372670807,0.8633040907484174,0.8633540372670807,0.8630244890495548,0.944699831151973,319,237,50,38,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.923811544991511,65,51,11,11,0.8840579710144928,0.886008433065697,0.8840579710144928,0.8833117232415759,0.9335738539898132,71,51,11,5,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8618012422360248,0.8618887158650277,0.8618012422360248,0.8613688528866599,0.9453732712597234,320,235,52,37,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.9233870967741935,65,51,11,11,0.8623188405797102,0.8632369974856626,0.8623188405797102,0.8616187543973558,0.9325127334465195,69,50,12,7,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8307453416149069,0.8309474500038116,0.8307453416149069,0.8308282677212169,0.9094223055075689,301,234,53,56,0.8260869565217391,0.8282096325574586,0.8260869565217391,0.8264541715628673,0.9195670628183361,62,52,10,14,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.9124575551782682,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.827639751552795,0.8282061520260278,0.827639751552795,0.8278247977458076,0.9090075054412009,298,235,52,59,0.8405797101449275,0.8426657883179622,0.8405797101449275,0.8409163239326283,0.9187181663837012,63,53,9,13,0.8333333333333334,0.8331559151231283,0.8333333333333334,0.8332004888676338,0.9117147707979627,65,50,12,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
