,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8835403726708074,0.8836931110715828,0.8835403726708074,0.8835974319182684,0.9556505529040884,318,251,36,39,0.8623188405797102,0.8625994939038416,0.8623188405797102,0.8624136673385162,0.9199915110356536,66,53,9,10,0.8623188405797102,0.8621907909149534,0.8623188405797102,0.8622090994993497,0.9242359932088285,67,52,10,9,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8990683229813664,0.9001668351870576,0.8990683229813664,0.8992500793252385,0.9661425545828088,318,261,26,39,0.8478260869565217,0.849159298117011,0.8478260869565217,0.8480914644934047,0.9199915110356536,64,53,9,12,0.8695652173913043,0.8694908955778522,0.8695652173913043,0.8693430589367867,0.9278438030560271,68,52,10,8,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.860248447204969,0.8602694816804743,0.860248447204969,0.8598453177257526,0.9444948711191794,319,235,52,38,0.855072463768116,0.8558007735996866,0.855072463768116,0.8552564987347596,0.9185059422750425,65,53,9,11,0.855072463768116,0.8565305761753269,0.855072463768116,0.85413965405197,0.931239388794567,69,49,13,7,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8586956521739131,0.8587601064268624,0.8586956521739131,0.8582535462099558,0.9447876711660272,319,234,53,38,0.8478260869565217,0.8481251437773176,0.8478260869565217,0.8479308954794126,0.9199915110356536,65,52,10,11,0.8623188405797102,0.8647300665111037,0.8623188405797102,0.8612308907632944,0.9278438030560272,70,49,13,6,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8416149068322981,0.8420579025268149,0.8416149068322981,0.8417630167966865,0.9066504650640744,303,239,48,54,0.8260869565217391,0.8282096325574586,0.8260869565217391,0.8264541715628673,0.9208404074702885,62,52,10,14,0.8623188405797102,0.8632369974856626,0.8623188405797102,0.8616187543973558,0.9127758913412564,69,50,12,7,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.843167701863354,0.8437045252883763,0.843167701863354,0.8433360772281674,0.9057623049219687,303,240,47,54,0.8260869565217391,0.8282096325574586,0.8260869565217391,0.8264541715628673,0.9199915110356536,62,52,10,14,0.8478260869565217,0.8485559039843301,0.8478260869565217,0.8470523074918143,0.9129881154499151,68,49,13,8,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
