,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8649068322981367,0.8647575250836121,0.8649068322981367,0.8647287159317552,0.9432748709239793,317,240,47,40,0.8333333333333334,0.8336507936507936,0.8333333333333334,0.8334481236203091,0.9109719864176571,64,51,11,12,0.8405797101449275,0.8417916477301419,0.8405797101449275,0.839553619457167,0.9125636672325976,68,48,14,8,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8726708074534162,0.8725401938306163,0.8726708074534162,0.8725288324147784,0.9528689524590325,319,243,44,38,0.8260869565217391,0.8268764688601644,0.8260869565217391,0.8263077984817114,0.9100169779286926,63,51,11,13,0.8333333333333334,0.835122307411464,0.8333333333333334,0.8320163414503037,0.9132003395585738,68,47,15,8,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.9145962732919255,0.9155179525591286,0.9145962732919255,0.9142412772817898,0.9807923169267707,339,250,37,18,0.855072463768116,0.855422288855572,0.855072463768116,0.8545150501672242,0.9061969439728353,68,50,12,8,0.8188405797101449,0.8220399234345092,0.8188405797101449,0.8168151948870285,0.911502546689304,68,45,17,8,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.9130434782608695,0.9138270567318572,0.9130434782608695,0.9127050462267391,0.9819147171063547,338,250,37,19,0.8478260869565217,0.8485559039843301,0.8478260869565217,0.8470523074918143,0.8991935483870968,68,49,13,8,0.8260869565217391,0.8306564517383527,0.8260869565217391,0.82382687798401,0.9083191850594228,69,45,17,7,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8773291925465838,0.8774877391812568,0.8773291925465838,0.8773892949539096,0.938472950155672,316,249,38,41,0.8188405797101449,0.8202470945770528,0.8188405797101449,0.8191565053492913,0.8945246179966044,62,51,11,14,0.7971014492753623,0.7969015492253874,0.7971014492753623,0.7963210702341137,0.8972835314091681,64,46,16,12,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8773291925465838,0.8776298290378471,0.8773291925465838,0.8774263105590667,0.936032949765272,315,250,37,42,0.8115942028985508,0.813753476796955,0.8115942028985508,0.8119920191931062,0.8964346349745331,61,51,11,15,0.7971014492753623,0.7969015492253874,0.7971014492753623,0.7963210702341137,0.8985568760611206,64,46,16,12,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
