,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8819875776397516,0.8819875776397516,0.8819875776397516,0.8819875776397516,0.9526005524160882,319,249,38,38,0.8623188405797102,0.8625994939038416,0.8623188405797102,0.8624136673385162,0.9278438030560271,66,53,9,10,0.8478260869565217,0.8476733530190408,0.8478260869565217,0.8477047941834919,0.9255093378607809,66,51,11,10,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.9006211180124224,0.9008189605731582,0.9006211180124224,0.9006850490637521,0.9658399945343991,323,257,30,34,0.8623188405797102,0.8625994939038416,0.8623188405797102,0.8624136673385162,0.9316638370118845,66,53,9,10,0.8768115942028986,0.8769841640003856,0.8768115942028986,0.8764766110679665,0.927207130730051,69,52,10,7,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8695652173913043,0.8697785590747853,0.8695652173913043,0.8691246069408954,0.9557579129212661,323,237,50,34,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9320882852292021,67,53,9,9,0.8405797101449275,0.8434169158806839,0.8405797101449275,0.8390679660169915,0.9165959252971136,69,47,15,7,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8773291925465838,0.877871425711406,0.8773291925465838,0.8768192891865707,0.9556895929103348,327,238,49,30,0.8623188405797102,0.8621907909149534,0.8623188405797102,0.8622090994993497,0.9312393887945671,67,52,10,9,0.8333333333333334,0.8395312147847644,0.8333333333333334,0.8308449608194437,0.9170203735144312,70,45,17,6,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8493788819875776,0.8499038745933157,0.8493788819875776,0.8495405890211113,0.9286885485901677,305,242,45,52,0.8478260869565217,0.8507736882031971,0.8478260869565217,0.8481872020800231,0.9280560271646858,63,54,8,13,0.8695652173913043,0.8700524737631183,0.8695652173913043,0.8690635451505015,0.9119269949066214,69,51,11,7,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8462732919254659,0.8470156813485149,0.8462732919254659,0.8464786274064894,0.927829668452747,303,242,45,54,0.8405797101449275,0.844562172695165,0.8405797101449275,0.8409828805302302,0.9269949066213921,62,54,8,14,0.8768115942028986,0.8779180909869951,0.8768115942028986,0.8761852013028972,0.9112903225806452,70,51,11,6,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
