,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda
svm_1,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9441044710567154,315,245,42,42,0.8478260869565217,0.849159298117011,0.8478260869565217,0.8480914644934047,0.9189303904923599,64,53,9,12,0.8623188405797102,0.8621907909149534,0.8623188405797102,0.8622090994993497,0.9237054329371817,67,52,10,9,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8773291925465838,0.8773747489551106,0.8773291925465838,0.8773498384047808,0.9535326325652214,317,248,39,40,0.855072463768116,0.8558007735996866,0.855072463768116,0.8552564987347596,0.9216893039049235,65,53,9,11,0.8623188405797102,0.8621907909149534,0.8623188405797102,0.8622090994993497,0.9259337860780984,67,52,10,9,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_1,0.8695652173913043,0.8697785590747853,0.8695652173913043,0.8691246069408954,0.9440361510457842,323,237,50,34,0.8695652173913043,0.8694908955778522,0.8695652173913043,0.8693430589367867,0.9361205432937181,68,52,10,8,0.8405797101449275,0.8417916477301419,0.8405797101449275,0.839553619457167,0.9257215619694398,68,48,14,8,,,,,,,,,,,,,300.0,7.0,5.0,5.0,sqrt,gini,300.0,7.0,5.0,5.0,sqrt,gini,,,,,,,,,,,,,,
random_forest_9,0.8680124223602484,0.8680335286095362,0.8680124223602484,0.8676632360323526,0.9427771108443377,321,238,49,36,0.8623188405797102,0.8621907909149534,0.8623188405797102,0.8622090994993497,0.9344227504244482,67,52,10,9,0.855072463768116,0.8582930756843801,0.855072463768116,0.8536981509245377,0.9284804753820034,70,48,14,6,,,,,,,,,,,,,500.0,7.0,5.0,5.0,sqrt,,500.0,7.0,5.0,5.0,sqrt,,,,,,,,,,,,,,,
lightgbm_1,0.8369565217391305,0.8375051759834369,0.8369565217391305,0.8371315654352235,0.9027464644394343,301,238,49,56,0.8405797101449275,0.8426657883179622,0.8405797101449275,0.8409163239326283,0.9363327674023769,63,53,9,13,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.9106536502546689,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,4.0,,,,,300.0,4.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
lightgbm_8,0.8354037267080745,0.8358572310939131,0.8354037267080745,0.8355576449063604,0.9027318244370919,301,237,50,56,0.8405797101449275,0.8426657883179622,0.8405797101449275,0.8409163239326283,0.9361205432937181,63,53,9,13,0.8188405797101449,0.8186400256211736,0.8188405797101449,0.8183479574528918,0.9120331069609507,65,48,14,11,,,,,balanced,0.0,,,,,balanced,0.0,300.0,3.0,,,,,300.0,3.0,,,,,15.0,100.0,0.8,0.8,0.05,5.0,5.0,15.0,100.0,0.8,0.8,0.05,5.0,5.0
