,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,tuned_C,tuned_kernel,final_C,final_kernel,tuned_n_estimators,tuned_max_depth,tuned_min_samples_split,tuned_min_samples_leaf,tuned_max_features,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,tuned_learning_rate,tuned_num_leaves,tuned_reg_alpha,tuned_reg_lambda,tuned_colsample_bytree,tuned_subsample,tuned_min_child_samples,final_learning_rate,final_num_leaves,final_reg_alpha,final_reg_lambda,final_colsample_bytree,final_subsample,final_min_child_samples
svm_11,0.8074534161490683,0.8073337030355955,0.8074534161490683,0.8073857160570789,0.863662538186006,296,224,63,61,0.8623188405797102,0.8636153998869901,0.8623188405797102,0.8625589440654614,0.8926146010186757,65,54,8,11,0.8188405797101449,0.8203184278616442,0.8188405797101449,0.8174090667938083,0.8909168081494059,67,46,16,9,0.009454783510249818,linear,0.009454783510249818,linear,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_11,0.9425465838509317,0.9425564709710503,0.9425465838509317,0.9424939208058025,0.9897129583540732,341,266,21,16,0.8695652173913043,0.8715780998389695,0.8695652173913043,0.8698406286721504,0.9025891341256367,65,55,7,11,0.8188405797101449,0.8220399234345092,0.8188405797101449,0.8168151948870285,0.8868845500848895,68,45,17,8,,,,,384.0,15.0,10.0,4.0,sqrt,384.0,15.0,10.0,4.0,sqrt,,,,,,,,,,,,,,
lightgbm_11,1.0,1.0,1.0,1.0,1.0,357,287,0,0,0.7753623188405797,0.7768787892671156,0.7753623188405797,0.7757540666331211,0.8873089983022071,59,48,14,17,0.7898550724637681,0.7941127475477947,0.7898550724637681,0.7867175592940813,0.8669354838709677,67,42,20,9,,,,,138.0,9.0,,,,138.0,9.0,,,,0.16994878215828124,75.0,0.0031290370092086424,0.015910774953601593,0.7780639899477516,0.6534222590743362,18.0,0.16994878215828124,75.0,0.0031290370092086424,0.015910774953601593,0.7780639899477516,0.6534222590743362,18.0
