,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,tuned_C,tuned_kernel,tuned_gamma,final_C,final_kernel,final_gamma,tuned_n_estimators,tuned_max_depth,tuned_min_samples_split,tuned_min_samples_leaf,tuned_max_features,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,tuned_learning_rate,tuned_num_leaves,tuned_reg_alpha,tuned_reg_lambda,tuned_colsample_bytree,tuned_subsample,tuned_min_child_samples,final_learning_rate,final_num_leaves,final_reg_alpha,final_reg_lambda,final_colsample_bytree,final_subsample,final_min_child_samples
svm_11,0.8385093167701864,0.8383212828175712,0.8385093167701864,0.8381198506949284,0.8979006236640998,311,229,58,46,0.8768115942028986,0.8770738440303657,0.8768115942028986,0.8768964391976197,0.9000424448217317,67,54,8,9,0.8333333333333334,0.8369959304476507,0.8333333333333334,0.8314699792960661,0.8955857385398981,69,46,16,7,0.2554824330277767,rbf,scale,0.2554824330277767,rbf,scale,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_11,0.9611801242236024,0.9613085284280936,0.9611801242236024,0.9611289413596998,0.9968963195034111,348,271,16,9,0.8405797101449275,0.8403939056112969,0.8405797101449275,0.8403081831449615,0.8991935483870968,66,50,12,10,0.7971014492753623,0.8029512516469038,0.7971014492753623,0.793655001767409,0.8864601018675721,68,42,20,8,,,,,,,165.0,25.0,4.0,3.0,sqrt,165.0,25.0,4.0,3.0,sqrt,,,,,,,,,,,,,,
lightgbm_11,1.0,1.0,1.0,1.0,1.0,357,287,0,0,0.8260869565217391,0.8282096325574586,0.8260869565217391,0.8264541715628673,0.8860356536502546,62,52,10,14,0.7971014492753623,0.7987884364695959,0.7971014492753623,0.7951774112943528,0.8637521222410866,66,44,18,10,,,,,,,274.0,3.0,,,,274.0,3.0,,,,0.1674178492842627,52.0,1.4683321392636371e-05,0.00014982890337502714,0.6465621301302354,0.6247978456750102,20.0,0.1674178492842627,52.0,1.4683321392636371e-05,0.00014982890337502714,0.6465621301302354,0.6247978456750102,20.0
