,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,tuned_C,tuned_kernel,tuned_gamma,final_C,final_kernel,final_gamma,tuned_n_estimators,tuned_max_depth,tuned_min_samples_split,tuned_min_samples_leaf,tuned_max_features,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,tuned_learning_rate,tuned_num_leaves,tuned_reg_alpha,tuned_reg_lambda,tuned_colsample_bytree,tuned_subsample,tuned_min_child_samples,final_learning_rate,final_num_leaves,final_reg_alpha,final_reg_lambda,final_colsample_bytree,final_subsample,final_min_child_samples
svm_11,0.84472049689441,0.8447332777325908,0.84472049689441,0.8441959606439232,0.9076899052303848,315,229,58,42,0.8623188405797102,0.8625994939038416,0.8623188405797102,0.8624136673385162,0.9025891341256367,66,53,9,10,0.8405797101449275,0.8434169158806839,0.8405797101449275,0.8390679660169915,0.9013157894736842,69,47,15,7,0.4072363139119797,rbf,scale,0.4072363139119797,rbf,scale,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_11,0.9860248447204969,0.9860343558323833,0.9860248447204969,0.9860271967802915,0.9995900799344128,352,283,4,5,0.8695652173913043,0.8694908955778522,0.8695652173913043,0.8693430589367867,0.9002546689303904,68,52,10,8,0.8188405797101449,0.8274162620592938,0.8188405797101449,0.8153687284122066,0.8860356536502546,70,43,19,6,,,,,,,304.0,20.0,5.0,2.0,log2,304.0,20.0,5.0,2.0,log2,,,,,,,,,,,,,,
lightgbm_11,0.9953416149068323,0.995348036421864,0.9953416149068323,0.9953423989267638,0.999853599976576,355,286,1,2,0.7898550724637681,0.7950010501995378,0.7898550724637681,0.7903971678282995,0.8845500848896435,58,51,11,18,0.8188405797101449,0.8220399234345092,0.8188405797101449,0.8168151948870285,0.8771222410865874,68,45,17,8,,,,,,,203.0,4.0,,,,203.0,4.0,,,,0.07827188260409962,101.0,6.168349830743831e-07,6.78207069757883e-05,0.6969818490247276,0.8799605254076552,24.0,0.07827188260409962,101.0,6.168349830743831e-07,6.78207069757883e-05,0.6969818490247276,0.8799605254076552,24.0
