,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,tuned_C,tuned_kernel,tuned_gamma,final_C,final_kernel,final_gamma,tuned_n_estimators,tuned_max_depth,tuned_min_samples_split,tuned_min_samples_leaf,tuned_max_features,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,tuned_learning_rate,tuned_num_leaves,tuned_reg_alpha,tuned_reg_lambda,tuned_colsample_bytree,tuned_subsample,tuned_min_child_samples,final_learning_rate,final_num_leaves,final_reg_alpha,final_reg_lambda,final_colsample_bytree,final_subsample,final_min_child_samples
svm_11,0.843167701863354,0.84322573561704,0.843167701863354,0.8425980216855791,0.9053963048634086,315,228,59,42,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.900679117147708,67,53,9,9,0.8260869565217391,0.8306564517383527,0.8260869565217391,0.82382687798401,0.8968590831918506,69,45,17,7,0.25075063208228837,rbf,auto,0.25075063208228837,rbf,auto,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_11,0.9440993788819876,0.944092326456996,0.9440993788819876,0.9440589483882894,0.9913233586117375,341,267,20,16,0.8623188405797102,0.8625994939038416,0.8623188405797102,0.8624136673385162,0.8987691001697793,66,53,9,10,0.8115942028985508,0.8156127660677711,0.8115942028985508,0.8091457844826774,0.8921901528013583,68,44,18,8,,,,,,,403.0,26.0,11.0,3.0,log2,403.0,26.0,11.0,3.0,log2,,,,,,,,,,,,,,
lightgbm_11,1.0,1.0,1.0,1.0,1.0,357,287,0,0,0.7898550724637681,0.7929245383614689,0.7898550724637681,0.7903537552533653,0.8788200339558574,59,50,12,17,0.8115942028985508,0.8115317341329336,0.8115942028985508,0.8108695652173914,0.8766977928692699,65,47,15,11,,,,,,,330.0,10.0,,,,330.0,10.0,,,,0.13129759468322585,71.0,0.0004911020645733443,1.1188700632056793e-07,0.6219587208416865,0.9131205422432216,39.0,0.13129759468322585,71.0,0.0004911020645733443,1.1188700632056793e-07,0.6219587208416865,0.9131205422432216,39.0
