,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,tuned_C,tuned_kernel,tuned_gamma,final_C,final_kernel,final_gamma,tuned_n_estimators,tuned_max_depth,tuned_min_samples_split,tuned_min_samples_leaf,tuned_max_features,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,tuned_learning_rate,tuned_num_leaves,tuned_reg_alpha,tuned_reg_lambda,tuned_colsample_bytree,tuned_subsample,tuned_min_child_samples,final_learning_rate,final_num_leaves,final_reg_alpha,final_reg_lambda,final_colsample_bytree,final_subsample,final_min_child_samples
svm_11,0.843167701863354,0.84322573561704,0.843167701863354,0.8425980216855791,0.9025951844152296,315,228,59,42,0.8623188405797102,0.8625994939038416,0.8623188405797102,0.8624136673385162,0.9004668930390493,66,53,9,10,0.8260869565217391,0.8306564517383527,0.8260869565217391,0.82382687798401,0.8955857385398982,69,45,17,7,0.2221203878998566,rbf,auto,0.2221203878998566,rbf,auto,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_11,0.906832298136646,0.9067840715682275,0.906832298136646,0.9067284139620331,0.9696463951434231,330,254,33,27,0.8768115942028986,0.8770738440303657,0.8768115942028986,0.8768964391976197,0.9036502546689303,67,54,8,9,0.8115942028985508,0.8156127660677711,0.8115942028985508,0.8091457844826774,0.884125636672326,68,44,18,8,,,,,,,399.0,6.0,11.0,3.0,log2,399.0,6.0,11.0,3.0,log2,,,,,,,,,,,,,,
lightgbm_11,1.0,1.0,1.0,1.0,1.0,357,287,0,0,0.8043478260869565,0.8073868258219009,0.8043478260869565,0.8048121169600297,0.8894312393887945,60,51,11,16,0.7898550724637681,0.7907106687620046,0.7898550724637681,0.7881945174808177,0.8728777589134126,65,44,18,11,,,,,,,397.0,7.0,,,,397.0,7.0,,,,0.10271139460390594,77.0,0.0026826622137110117,1.4947064360228135e-06,0.6122978932492773,0.8792887885752781,16.0,0.10271139460390594,77.0,0.0026826622137110117,1.4947064360228135e-06,0.6122978932492773,0.8792887885752781,16.0
